date;airPressure_7h;airPressure_14h;airPressure_19h;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;hum_7h;hum_14h;hum_19h;windDir_7h;windBeauf_7h;windDir_14h;windBeauf_14h;windDir_19h;windBeauf_19h;precip;precipType
01.01.2022;998.4;1000.4;1001.4;4;8;1;13.1;13.7;11.1;67;66;70;NW;4;W;4;W;2;0;
02.01.2022;997.3;993.9;992.5;9;5;9;3.4;8.9;7.5;96;76;86;E;1;E;1;SW;2;0;
03.01.2022;989.2;990;989.4;4;3;10;12.6;12.6;10.3;55;58;67;W;5;W;4;W;3;0.7;rain
04.01.2022;981.2;975.4;973.8;10;10;5;8.3;8.5;8.9;77;76;73;S;1;SW;2;SW;2;0.3;rain
05.01.2022;976.2;978.4;983.2;10;10;10;7.4;6.8;4.7;82;72;62;NW;2;W;4;W;4;traces;rain
06.01.2022;986.3;990.3;995.7;9;9;0;2.9;5.4;0.8;72;60;66;W;5;W;3;W;3;0;
07.01.2022;997.4;994.5;993.7;0;1;0;-3.4;2.2;-1.2;86;52;63;W;1;SE;3;SE;2;traces;snow
08.01.2022;990.4;988.7;986.8;9;5;7;-2.1;1.2;2.8;72;63;65;S;1;SE;2;W;4;traces;snow
09.01.2022;977.9;978.7;981.4;7;9;9;-4;1.7;0.1;87;66;81;E;1;S;2;NE;1;0.1;rain and snow
10.01.2022;986.8;991.6;996.9;9;9;0;3;3.5;2.6;79;83;76;NW;4;NW;3;NW;4;traces;rain
11.01.2022;1004.8;1006.3;1008.3;9;5;0;-0.8;0.5;-0.9;70;63;69;N;3;NW;3;NW;3;0;
12.01.2022;1010.8;1011.5;1012.1;1;5;3;-5.1;-1.7;-2;83;69;72;NW;3;NW;3;NW;1;0;
13.01.2022;1012.8;1011;1008.9;10;9;1;-0.2;4.6;4.3;72;54;63;W;3;W;3;W;5;0;
14.01.2022;1003.7;1001;1002.2;1;0;1;5.4;10;6.1;59;43;58;W;5;W;6;W;4;0;
15.01.2022;1004.4;1003.5;1002.7;10;7;0;5.3;6.6;0.6;62;53;75;NW;2;NW;3;NW;2;0;
16.01.2022;999.5;996.7;999.3;0;9;4;-3.7;6.1;2.7;92;56;72;W;1;SW;2;W;4;0;
17.01.2022;997.8;994.7;999.3;6;9;10;101.07604104069806;6.2;5.3;73;64;72;W;5;W;6;W;5;6.2;rain
18.01.2022;1008.1;1010.2;1011.2;2;3;3;2;5;2.6;68;57;61;NW;3;NW;3;NW;4;0;
19.01.2022;1006.8;1000.3;996.8;0;1;0;-3;4.3;0.3;88;63;82;NW;1;S;2;W;1;0;
20.01.2022;992.6;990.6;994.5;9;5;10;4.6;5.9;0.9;66;58;68;W;4;W;5;W;3;2.9;rain and snow
21.01.2022;999.2;999.1;999.2;1;1;10;-1.5;2.3;-0.2;59;45;83;NW;4;W;4;W;4;2.4;snow
22.01.2022;994.3;1000.3;1003.7;10;9;4;1.3;2.3;1.5;85;70;65;W;4;N;3;NW;3;2.2;"rain; snow and graupel"
23.01.2022;1004.5;1005.4;1007.1;10;10;10;2.2;3.9;3.7;89;89;85;NW;3;NW;4;NW;3;7.9;rain and snow
24.01.2022;1008.8;1009.7;1010;10;10;10;-0.1;1.3;0.7;94;79;82;NE;1;SE;2;SW;1;0.1;snow
25.01.2022;1007;1005.7;1005.6;10;10;10;0.4;2.1;2.3;90;84;83;N;1;W;2;NW;2;traces;rain
26.01.2022;1004.4;1002.9;1003.2;10;10;10;1.6;2.6;2.3;83;71;75;W;2;W;3;W;3;0;
27.01.2022;1000.6;994.4;994.5;7;6;9;1.8;7.9;5.8;75;44;53;W;2;W;5;W;5;0.9;rain
28.01.2022;996;998.7;1002.1;8;9;9;;6.2;5;72;51;55;W;4;NW;5;W;4;traces;rain
29.01.2022;1003.4;998.8;994;4;10;10;1.8;4.1;6.1;77;84;68;W;3;W;3;W;5;5.5;rain
30.01.2022;989.3;991.1;994.4;9;9;9;7.8;8.3;6.5;61;38;48;W;5;NW;5;W;5;traces;rain
31.01.2022;987.8;980.3;980.1;9;10;3;2.6;5.4;4.2;64;74;77;W;2;W;3;W;4;4.9;rain
01.02.2022;987.4;988.5;984;7;8;4;1.2;5.4;3.2;82;59;68;NW;3;NW;4;W;4;1.3;rain
02.02.2022;981.2;984.7;989.5;9;8;6;4.6;6.9;5;80;64;63;W;4;W;4;NW;4;1.8;rain
03.02.2022;997.4;996.2;993;1;9;7;3.6;9.1;6.6;63;43;55;NW;4;W;2;S;2;0.2;rain
04.02.2022;989.7;989.7;988.7;9;9;4;2.2;9.7;7;83;61;68;NE;2;W;3;W;3;0.3;rain
05.02.2022;993.3;;998.1;9;5;2;6.2;6.8;4.6;56;43;48;NW;4;W;4;NW;3;0.1;rain
06.02.2022;994;988.1;982.9;9;9;9;4.2;10.8;10.4;57;27;32;SW;2;W;4;SW;4;2.4;rain
07.02.2022;979.4;988.3;994.1;9;8;9;3.5;5.1;4.3;88;64;68;W;6;NW;5;NW;4;4.7;rain
08.02.2022;1002.1;1000.8;1000.5;3;8;9;3.8;7.9;7.4;63;54;63;NW;4;W;5;W;4;traces;rain
09.02.2022;1002.9;1001.7;1002.1;3;1;0;8;13.1;8.5;63;46;64;W;4;W;3;W;3;0;
10.02.2022;1000.1;995.9;;0;3;9;0.8;14.3;10.1;94;31;49;SW;1;W;3;W;2;0;
11.02.2022;994.6;997.8;1002.8;9;9;7;6.4;7.8;5.3;72;68;52;SW;2;W;5;W;3;2;rain
12.02.2022;1008.5;1008.1;1006.2;5;7;0;3;6.1;3.5;77;60;62;NW;2;E;2;SE;3;0;
13.02.2022;1001.7;998.5;995.8;1;3;0;-0.8;8.1;4.3;74;42;53;SE;2;SE;3;SE;3;0;
14.02.2022;991.3;988.4;;0;0;3;-1.1;7.3;2.7;76;48;61;S;2;SE;2;E;2;0;
15.02.2022;987.9;989;990.8;8;8;10;0.2;11.4;6.3;91;45;75;W;1;NE;1;W;3;1.1;rain
16.02.2022;989.9;984.9;982.8;3;5;9;4.4;13.8;10.2;79;38;54;W;2;S;3;S;2;3.5;rain
17.02.2022;973;976.1;982.4;9;9;9;14.3;14.3;10;59;45;47;W;5;W;4;W;4;traces;rain
18.02.2022;989.2;986.7;980.6;9;10;3;7.5;12.9;8.8;58;53;81;NW;2;SW;3;W;2;1;rain
19.02.2022;986.5;991.3;993.7;5;8;7;8.2;11.4;8.1;49;33;36;W;5;W;4;W;3;traces;rain
